013off.dat:1.22677460E-02 2.95168459E-02 789 0.422496945 0.446025789
014off.dat:1.01107303E-02 2.03196350E-02 518 0.429445922 0.436645657
015off.dat:-0.107449196 9.00634378E-02 204 0.642138600 0.549974620
016off.dat:-1.98472869E-02 3.32921557E-02 465 0.448689491 0.425116688
021off.dat:2.68097501E-02 -4.81893169E-03 1307 0.429014564 0.444520652
022off.dat:3.76189724E-02 3.49138491E-02 1566 0.443700075 0.458084643
023off.dat:-3.49355154E-02 3.33964564E-02 1748 0.425621718 0.430394679
024off.dat:3.01632062E-02 2.64480244E-02 1853 0.412765741 0.448900461
025off.dat:-8.43454059E-03 3.37655060E-02 1741 0.450510710 0.452064574
026off.dat:3.63661745E-03 1.27294436E-02 1779 0.422232211 0.429576904
027off.dat:2.35071946E-02 -5.01980213E-03 1798 0.446769804 0.470691711
028off.dat:-1.53604699E-02 3.80180851E-02 316 0.420592189 0.418666631
031off.dat:-2.79654916E-02 -1.18375486E-02 699 0.474354982 0.491745472
032off.dat:4.53357138E-02 1.60839111E-02 1623 0.440331101 0.429883748
033off.dat:-1.41996704E-02 -2.32308246E-02 1835 0.391655147 0.428681672
034off.dat:-3.52436453E-02 3.88393365E-02 1800 0.442653328 0.421778411
035off.dat:2.05500498E-02 -1.88355390E-02 1826 0.433351934 0.450584829
036off.dat:3.29008475E-02 1.04690101E-02 1945 0.423445612 0.437243104
037off.dat:5.11422828E-02 -9.78796370E-03 1925 0.439394116 0.410601109
038off.dat:-1.84181635E-03 3.71071277E-03 321 0.422418684 0.415431261
041off.dat:2.32763439E-02 8.51472560E-03 1047 0.478410989 0.434172124
042off.dat:-3.22319828E-02 3.64161246E-02 1937 0.395281255 0.417549849
043off.dat:2.06976626E-02 -5.40041039E-03 2059 0.438466609 0.437055558
044off.dat:-1.91114265E-02 4.75726239E-02 1771 0.443986207 0.430775493
045off.dat:3.24295647E-02 -6.57745777E-03 1955 0.413875341 0.415827543
046off.dat:3.73312235E-02 1.85314622E-02 1993 0.421186298 0.434953988
047off.dat:9.22816398E-04 -7.22782279E-04 2040 0.473811299 0.481094003
048off.dat:0.655961990 -0.181415007 1 -1.00000000 -1.00000000
052off.dat:-7.14084785E-03 7.67687219E-04 1821 0.410809875 0.412092149
053off.dat:1.21015813E-02 2.15733089E-02 2010 0.460635781 0.461757749
062off.dat:-3.17941755E-02 4.54385066E-03 1824 0.404718578 0.413222283
063off.dat:-1.26361512E-02 -4.34732847E-02 1936 0.424515247 0.426981956
067off.dat:6.15417375E-04 1.65785197E-03 1943 0.414215297 0.460179418
071off.dat:-1.14834076E-02 -1.50153609E-02 875 0.440063626 0.447831929
072off.dat:1.07282056E-02 -6.10259213E-02 918 0.443958074 0.461964428
073off.dat:-1.35044316E-02 -1.88673846E-03 1369 0.416597635 0.433216214
074off.dat:3.53582986E-02 -8.32408201E-03 1163 0.417191416 0.453302950
075off.dat:-2.17507477E-03 -2.24712975E-02 2157 0.406614870 0.397970766
076off.dat:1.28453150E-02 8.17285571E-03 2203 0.418197274 0.432308853
077off.dat:1.41782155E-02 1.35577768E-02 899 0.444439650 0.487717003
081off.dat:2.90701892E-02 3.41553614E-03 1533 0.441612631 0.495506495
082off.dat:-5.18732853E-02 2.46102866E-02 1709 0.423140198 0.462787986
083off.dat:2.83588991E-02 -2.37680576E-03 1830 0.419761688 0.423186421
084off.dat:2.60363054E-02 -5.36808260E-02 1737 0.427063614 0.447937757
085off.dat:6.96105417E-03 -3.41286175E-02 2125 0.415137202 0.416203439
086off.dat:-9.38926078E-03 -1.75023805E-02 1837 0.405445874 0.432293057
087off.dat:8.99645314E-03 -2.20704032E-03 1861 0.395575255 0.416968763
088off.dat:1.96504570E-03 -3.12098898E-02 1583 0.453006834 0.469578385
091off.dat:-4.34941910E-02 1.38826044E-02 1221 0.474198222 0.477734178
092off.dat:-2.17024516E-02 -5.34229651E-02 1586 0.434327662 0.465972662
093off.dat:-4.67757136E-03 1.08185243E-02 1659 0.422439218 0.462101847
094off.dat:1.89621840E-02 1.16258124E-02 1318 0.461328089 0.498515874
095off.dat:-2.18231138E-03 2.08394658E-02 1747 0.457347810 0.431037426
096off.dat:-2.82582566E-02 -1.42832510E-02 1714 0.457948059 0.452850550
097off.dat:-1.33810928E-02 -4.59507219E-02 1577 0.443948120 0.463097095
098off.dat:1.60211548E-02 -6.84883669E-02 1491 0.447237223 0.453124195
103off.dat:-1.95119658E-03 -5.15756337E-03 1559 0.462896556 0.443984509
104off.dat:-3.73486839E-02 -4.70529398E-04 1618 0.443396688 0.464084119
105off.dat:-2.37883627E-02 -5.51739745E-02 1488 0.442171752 0.441437304
106off.dat:2.90443804E-02 -1.72788985E-02 1699 0.468515366 0.452946872
